"id_product";"reference";"name";"description";"price";"link_rewrite";"link_rewrite";"id_image"
"288";"2015/07B";"Miroir directoire en bois polychrome; 19è siècle";"<p>Miroir directoire en bois polychrome; 19è siècle</p>";"289.256198";"miroirs-et-trumeaux";"miroir-directoire-en-bois-polychrome";"285"
"302";"2012/381E";"Pendule en bois fin 18è siècle (mécanisme 20è siècle)";"<p>Pendule en bois fin 18è siècle (mécanisme 20è siècle)</p>";"495.867769";"divers";"pendule-a-suspendre";"299"
"305";"2013/96A";"Paire d'Huiles sur panneaux - Scènes animalières";"<p></p>
<p>64 cm x 84 cm</p>
<p>France XIX ème siècle</p>";"1115.702479";"tableaux";"paire-d-huiles-sur-panneaux-scenes-animalieres";"302"
"306";"2013/04A";"Trois tasses et sous-tasses en porcelaine de Waldenburg; 19è siècle; signé KPM (fondé en 1831)";"<p>Trois tasses et sous-tasses en porcelaine de Waldenburg; 19è siècle; signé KPM (fondé en 1831)</p>";"99.173554";"porcelaine-et-faience";"porcelaine-de-waldenburg-lot-de-4-tasses-et-5-sous-tasses";"303"
"309";"2012/81C";"Bibliothèque patinée";"<p></p>
<p>L. 138;5 cm; P. 33;5 cm; H. 124 cm</p>
<p>XXème</p>";"413.223140";"mobilier";"bibliotheque-patinee";"306"
"312";"2010/109B";"Franz Binjé (1835-1900)  Paysage animé";"<p></p>
<p>45 x 35 cm</p>
<p>Ecole belge XIX ème siècle</p>";"537.190083";"tableaux";"franz-binje-1835-1900-paysage-anime";"309"
"314";"2006/102E";"Chien - Loulou de Poméranie";"<p></p>
<p>L. 7 cm; H. 8 cm</p>
<p>XIX ème siècle</p>";"309.917355";"bronzes-de-vienne";"chien-loulou-de-pomeranie";"311"
"316";"2012/99B";"Paire de personnages; Mondovi; Italie; 19è siècle";"<p>Paire de personnages; Mondovi; Italie; 19è siècle</p>";"123.966942";"porcelaine-et-faience";"mondovi-italie-paire-de-personnages";"313"
"318";"2012/100H";"Salière en argent en trois parties; 19è siècle";"<p>Salière en argent en trois parties; 19è siècle</p>";"66.115702";"argenterie-et-verrerie";"salieres-en-argent";"315"
"320";"2009/24H";"Poule";"<p></p><p>L. 6 cm; H. 7 cm</p><p>XIX ème siècle</p>";"148.760331";"bronzes-de-vienne";"poule";"317"
