"id_product";"reference";"name";"description";"link_rewrite";"link_rewrite";"id_image"
"318";"2012/100H";"Salière en argent en trois parties, 19è siècle";"<p>Salière en argent en trois parties, 19è siècle</p>";"argenterie-et-verrerie";"salieres-en-argent";"315"
"320";"2009/24H";"Poule";"<p></p><p>L. 6 cm, H. 7 cm</p><p>XIX ème siècle</p>";"bronzes-de-vienne";"poule";"317"
"323";"2010/208F";"Paire d'escargots en bronze de Vienne sur socle en marbre, 19è siècle";"<p>Paire d'escargots en bronze de Vienne sur socle en marbre, 19è siècle</p>";"bronzes-de-vienne";"paire-d-escargots-sur-socle-en-marbre";"320"
"325";"2016/02B";"Petit bureau de dame style Napoléon III";"<p>Petit bureau de dame style Napoléon III</p>";"mobilier";"petit-bureau-de-dame";"322"
"326";"2010/276H";"Porte-lettres avec petits oiseaux en bronze de Vienne, circa 1870";"<p>Porte-lettres avec petits oiseaux en bronze de Vienne, circa 1870</p>";"bronzes-de-vienne";"porte-lettres-avec-petits-oiseaux";"323"
"328";"2012/04G";"Mouton en bronze de Vienne, 19è siècle";"<p>Mouton en bronze de Vienne, 19è siècle</p>";"bronzes-de-vienne";"petit-mouton";"325"
"330";"2008/15C";"Fauteuil en hêtre post-gustavien";"<p>Fauteuil en hêtre post-gustavien</p>";"fauteuils";"fauteuil-en-hetre-post-gustavien";"327"
"332";"2012/107D";"Boite à cigare en bois, Chine, circa 1890";"<p>Boite à cigare en bois, Chine, circa 1890</p>";"divers";"boite-a-cigares-en-bois";"329"
"334";"2012/279E";"Paire de cacatoès en bronze, ""La danse des amours"", Angleterre, circa 1900";"<p>Paire de cacatoès en bronze, ""La danse des amours"", Angleterre, circa 1900</p>";"sculptures";"paire-de-cacatoes-la-danse-des-amours";"331"
"335";"2010/94E";"Lévrier en bronze de Vienne, fin 19è siècle";"<p>Lévrier en bronze de Vienne, fin 19è siècle</p>";"bronzes-de-vienne";"levrier";"332"
"337";"2010/279C";"Deux tigres en bronze de Vienne, circa 1900";"<p>Deux tigres en bronze de Vienne, circa 1900</p>";"bronzes-de-vienne";"deux-tigres";"334"
